feature_name,rf_importance,permutation_importance,mutual_information,rf_rank,perm_rank,mi_rank,combined_rank
SpMax_B_m,0.08627795823715856,0.005670690811535869,0.1770786222000642,1.0,1.0,1.0,1.0
SpMax_L,0.06604550782509847,0.0031455399061032746,0.13535657359635356,2.0,6.0,4.0,4.0
SM6_B_m,0.050429784436198714,0.005244802146210615,0.10560120405862317,5.0,2.0,9.0,5.333333333333333
SpPosA_B_p,0.05997065504711765,0.00146881287726357,0.14053429290316077,3.0,20.0,3.0,8.666666666666666
mass_topology_proxy,0.04071103938694273,0.0018443997317236635,0.08466203902294644,6.0,15.0,12.0,11.0
Psi_i_A,0.022802748345194725,0.0049966465459423326,0.06387830602220501,14.0,3.0,19.0,12.0
SM6_L,0.03120384376438441,0.0012072434607646324,0.11845010802066946,8.0,21.0,7.0,12.0
F02_C_N,0.030722959294555357,0.0022166331321261,0.05520674622661392,9.0,12.0,23.0,14.666666666666666
SdssC,0.025840399822195232,0.0031991951710261665,0.05305783233872763,12.0,5.0,27.0,14.666666666666666
SpMax_A,0.05719753260376881,6.371562709590606e-05,0.12151516116567063,4.0,35.0,5.0,14.666666666666666
polarity_proxy,0.031734240973982586,1.0060362173051434e-05,0.14513730535747782,7.0,37.0,2.0,15.333333333333334
HyWi_B_m,0.030263893906267866,0.0010462776659959723,0.07710252627303138,10.0,23.0,13.0,15.333333333333334
Mi,0.024288054458643845,0.0024681421864520456,0.053739495727031406,13.0,9.0,25.0,15.666666666666666
nN,0.02867793757214775,0.004647887323943663,0.02715933926080627,11.0,4.0,38.0,17.666666666666668
LOC,0.022613367355113562,0.0005767940979208408,0.10118821646253195,15.0,29.0,10.0,18.0
SdO,0.020048897636918115,0.0005097250167672633,0.11845038494757931,21.0,30.0,6.0,19.0
C_percent,0.019025529482768175,0.0018745808182427806,0.06069980954096166,24.0,14.0,20.0,19.333333333333332
F04_C_N,0.011333936674931664,0.002246814218645225,0.06798832254441622,34.0,11.0,16.0,20.333333333333332
carbon_hetero_ratio_proxy,0.019900087174164405,0.0015761234071093458,0.05715463305180335,22.0,18.0,22.0,20.666666666666668
F03_C_N,0.01596674147681435,0.0024010731052984237,0.05268784885806155,26.0,10.0,28.0,21.333333333333332
J_Dz_e,0.021721901601866277,0.0019047619047619054,0.032089364040564394,17.0,13.0,35.0,21.666666666666668
nCp,0.013622375311451709,0.0025754527162977475,0.04924705447749589,29.0,8.0,29.0,22.0
nO,0.020951917381053956,0.0009523809523809564,0.05365468947176932,18.0,25.0,26.0,23.0
F03_C_O,0.02076528125094688,0.0015895372233400613,0.031149237801693985,19.0,17.0,36.0,24.0
Me,0.019608676471332215,0.0030650570087189816,0.013190847807029726,23.0,7.0,43.0,24.333333333333332
C_026,0.01147532481640604,0.0015157612340710891,0.05467565620671522,33.0,19.0,24.0,25.333333333333332
nHM,0.01600188413174648,-1.3413816230722909e-05,0.08888215673157007,25.0,42.0,11.0,26.0
NssssC,0.011978904162517567,0.0016297786720322301,0.03409910691808271,32.0,16.0,33.0,27.0
nX,0.005911449903667839,0.0010261569416498769,0.06615888578549689,41.0,24.0,18.0,27.666666666666668
ring_topology_proxy,0.01487590971997154,-0.0006841046277665723,0.10716720952548742,27.0,51.0,8.0,28.666666666666668
nCIR,0.00922081091058368,1.3413816230708104e-05,0.06769408748113404,36.0,36.0,17.0,29.666666666666668
halogen_presence,0.004763445227374109,0.0009255533199194883,0.05909189744004251,43.0,27.0,21.0,30.333333333333332
nCb_minus,0.012384562709747176,-0.00021462105969147032,0.07121211917783188,31.0,48.0,14.0,31.0
TI2_L,0.02021990134819418,-0.00014084507042257203,0.04914986014509548,20.0,46.0,30.0,32.0
nHDon,0.00490773341002283,0.0010663983903419938,0.033653849052139195,42.0,22.0,34.0,32.666666666666664
aromatic_substitution_signal,0.006609073270253465,-0.0002883970489604204,0.06813345645654323,38.0,49.0,15.0,34.0
heteroatom_total,0.006044539990650384,0.0009523809523809046,0.022030714499010617,40.0,26.0,40.0,35.333333333333336
electronic_balance_proxy,0.02185558271831347,-0.0008249496981891295,0.02633430947450366,16.0,52.0,39.0,35.666666666666664
donor_density,0.006446020327712782,0.0006405097250167469,0.02167331441252096,39.0,28.0,41.0,36.0
Psi_i_1d,0.014539460103626277,-0.00045606975184440864,0.03112951068425973,28.0,50.0,37.0,38.333333333333336
heteroatom_fraction,0.007593632907245878,-0.00018443997317238263,0.03961809289409435,37.0,47.0,32.0,38.666666666666664
B03_C_Cl,0.0009883249896776142,-5.365526492281762e-05,0.04226015278224704,46.0,43.0,31.0,40.0
nCrt,0.0026655574416131287,0.00040241448692167244,0.01207051766050582,45.0,31.0,45.0,40.333333333333336
nArCOOR,0.013540389695730091,-0.0001274312541917677,0.004924325741891167,30.0,45.0,49.0,41.333333333333336
F01_N_N,0.000889688742165923,0.00012743125419190833,0.0014353860833986598,47.0,34.0,50.0,43.666666666666664
nitro_ester_signal,0.0034906849672635626,-8.048289738424122e-05,0.012376089267430501,44.0,44.0,44.0,44.0
nArNO2,0.0005677145102298024,0.0002749832327296827,0.0,48.0,32.0,52.0,44.0
donor_acceptor_proxy,0.010337909500475086,-0.0008651911468812982,0.00925647930172424,35.0,53.0,46.0,44.666666666666664
nCRX3,8.370137003750154e-05,-6.706908115365155e-06,0.014236771223403055,52.0,40.0,42.0,44.666666666666664
B01_C_Br,0.0001826730280814794,0.0002012072434607326,0.0,51.0,33.0,52.0,45.333333333333336
B04_C_Br,0.00021214094947902994,-6.706908115365155e-06,0.008794502864908349,50.0,40.0,47.0,45.666666666666664
nN_N,0.00040485092933657406,0.0,0.0,49.0,38.0,52.0,46.333333333333336
N_073,8.286072685852773e-05,-6.706908115365155e-06,0.005830596035539148,53.0,40.0,48.0,47.0
